,headline
141,G.O.P. Support Shows Cracks as Scott Pruitt’s Ethics Inquiries Widen 
142,Can Sanctions Push the North Into Reforms?
143,Extra! Extra! He’s Still Selling
146,Tarot Card Reading
149,Teaching Activities for: “Southwest Pilot of Flight 1380 Is Navy Veteran Hailed for Her ‘Nerves of Steel’”
150,Global Track-and-Field Ban on Russia Shows No Sign of Letting Up. Here’s Why.
151,"‘Atlanta’ Season 2, Episode 8 Recap: Is Al Finally Ready to be Paper Boi?"
154,Eliza’s in Charge This Time
158,Dawn at the Fulton Fish Market
159,‘Deceived and Betrayed’ Parents Of Slain Children Urge Résumé Law
161,The Parallels in Jake Tapper’s New Novel
164,Officials to Lay a $1 Billion Fine on Wells Fargo
166,When Is It Safe to Eat Salad Again?
168,The Problem With Miracle Cancer Cures
169,"At Ho Foods, a Noodle Soup That Nourishes and Transports"
172,"A New Restaurant, Frenchette, Stands Up for Natural Wines"
173,Men Arrested At Starbucks Hope to Spur Talk on Race
175,Here’s $1 Million. Now Make Your Movie.
178,"In a Hot Global Economy, a Surplus of Frowns"
183,Standardized Tests
184,Should All Companies Require Anti-Bias Training for Employees?
186,The Goal? Sowing Literature
188,The Democrats’ Gentrification Problem
189,Lighting The Way For Others To Shine
191,"For Better, for Worse and Things You Can’t Remember"
192,"Marriage, a Path to Citizenship, Becomes a Road to Deportation"
195,‘Crazy High’ Tolls Get a Closer Look
198,"Democrats, the Real Fiscal Conservatives"
200,A Drug to End Addiction? Scientists Are Working on It.
201,Creative Start
202,Other End of the Leash
203,Choosing a Road Fit for Dr. King
207,"Barbara Bush, Gravely Ill,  Opts to Halt Treatment"
208,Trump to Punish  Russia for Aiding  Attack by Syria
209,"Trump Blasts Comey in Barrage of Tweets, Calling Him ‘Slippery’"
210,"Homes That Sold for Around $600,000"
213,I Can’t Jump Ship From Facebook Yet
215,The Warrior  At The Mall
216,Scrap Your To-Do List
217,"Paul Ryan, Party Man"
218,A ‘Black Tax’ on Housing
222,How Profiteers  Coax Women  Into Surgery
226,U.S. Says Strikes Took Out ‘Heart’  Of Assad Threat
231,"Pull Yourself Together, Henry Higgins!"
233,"A Pregnancy, a Payment and a G.O.P. Resignation"
237,"Mitzi Shore, 87, Comedy Club Owner Who Fostered Rising Stars in Her ‘University’"
239,Washington Insider and Former Coal Lobbyist Becomes E.P.A. Deputy Chief
240,Addressing His ‘Problem Areas’
243,"Privacy Issue Rises to Fore, Vindicating Data Experts"
245,The Crossword Zoo: 10 Animals You Should Know
247,A Performer Who’s Not Just Body and Snarl
248,Staring Down on Syria
254,Where #MeToo Should Go Next
255,"Appointing Yet Another White, Male Director Is a Missed Opportunity for the Met"
256,Dissenting Against the Supreme Court’s Rightward Shift
257,Lots of Fish on the Screen
262,House (and a Party) Upended as Speaker Calmly Takes His Leave
265,"Portraits of Mestiza in Mexico, as They Wish to Be Seen"
266,Fashion Comebacks
268,Is Now the Best Time in Human History to Be Alive?
270,"‘The Americans’ Season 6, Episode 3 Recap: Moscow Believes in Beef Stew"
271,"Overlooked No More: Lin Huiyin and Liang Sicheng, Chroniclers of Chinese Architecture"
273,The Silent Partner
274,Headline a Tabloid Didn’t Run Catches the Investigators’ Eyes
275,Pompeo Begins Charm Offensive Before His Senate Questioning
276,America’s Lethal Export
280,Plan to Track Methane Leaks From Above
281,"It’s Not Too Late, Mr. Ryan"
285,"Alternative Health Plans, Fewer Rules"
287,"Brutal Rape And Murder Of Girl, 8, Divides India"
289,If These Doors Could Talk: Selling Portals Into Chelsea Hotel’s Past
290,Police in France Begin Clearing Airport Protest Camp
291,"$2.3 Million Homes in New York, Florida and Colorado"
292,A Treehouse That’s Off the Grid
294,"For Ryan, Tax Cut Is Feather in His Cap, Trump an Albatross Around His Neck"
295,"Ryan Will Retire, Scattering Hopes Of G.O.P. for 2018"
296,‘Access Hollywood’ Tape Said to Be Focus of Raid
297,Former F.B.I. Deputy Director Is Faulted in Scathing Inspector General Report
299,Billionaire’s Ambition Meets a City’s Dream
300,Riffing On One of the World’s Great Sandwiches
301,The Clinical Trial Is Open. The Elderly Need Not Apply.
303,Craving a Taste of Spring? Try This.
306,A Chef’s Advice for Relaxation: Stir Some Risotto
312,"How Can Oats, Which Don’t Contain Gluten, Be Labeled ‘Gluten Free’?"
315,"He’s No Longer My Ex-Husband, He’s My Co-Grandparent"
316,Will Democrats Win the House? Ask Texas
321,Betting on the Berkshires
323,"A Governor’s Affair, A Legal Battle and Political Uncertainty in Missouri"
325,Officials Have Lost Count of How Many Thousands Have Died in Syria’s War
326,Sustainable Travel: It’s Not Just About the Environment
328,"In Alaska, It Could Be Your Neighbor Chasing That Car Thief"
331,Teaching Activities for: ‘Paul Ryan Upends Republican Hopes and Plans for Midterm Elections’
334,Air Pollution May Pose Serious Risks to Young Children
336,"‘Atlanta’ Season 2, Episode 7 Recap: Drake Has Left the Building"
342,Mike Pompeo Works the Hill
344,Ruling Favors California on Immigration
345,From Flimflam  To Fascism
346,A Renaissance On the Right
347,Too Much Perfume
351,Shifting Signals On Trade Baffle China’s Leaders
358,Trump Weighs Rejoining Accord With Pacific Rim in About-Face
359,"In Brisbane, Gauge Stands Apart From the Imitators"
360,"More Pruitt, Less E.P.A., for Medallion"
361,Built-In Advantage for the Majority Is Fast Receding
362,"As Camden’s Schools Improve, a State-Appointed Superintendent Steps Aside"
363,"To Save Abortion Rights, We Have to Think Beyond Roe"
364,Details of Unwanted Advances by Missouri’s Governor
366,Remember Those Friends You Deleted Long Ago? Facebook Does
367,Musicians Aging in Concert
369,"How N.F.L. Teams Use Social Media to Promote, and Control, Cheerleaders "
370,Why Exercise Alone May Not Be the Key to Weight Loss
371,How to Make a Crossword Puzzle
373,Why Teenagers Become ‘Allergic’ to Their Parents
374,Real Families and the Fictional Roseanne
375,Why Signatures Matter
376,Why Not Mike Pence?
377,"Military Plane Crash Is Algeria’s Worst Air Disaster, With 257 Dead"
378,How the Social Media Giant Collects and Uses Your Data
381,"In Reddest Rural Districts, Democratic Candidates Defying the N.R.A."
382,The Hidden Toll
383,"Answering a Calling, Her Way"
385,Is It Wrong to Focus on Animal Welfare When Humans Are Suffering?
389,Classic Work
397,"The Law Is Coming, Mr. Trump"
404,Justice Dept. Investigates Early College Admissions
406,Target of Raids Was Money Paid to Hush Women
407,Trump Fumes; We Should  Be Trembling
408,Not Screaming for Ice Cream
411,Filipinos Find Their Home City in Tatters
412,"President Calls Off  Trip to Latin America, Citing Crisis in Syria"
414,Climate Skeptics Say Polar Bears Are Fine. Scientists Beg to Differ.
415,Should We Speak to Little Boys as We Do Little Dogs?
417,How to Make Facebook More Accountable
419,Stephen Colbert Imagines How the Michael Cohen F.B.I. Raid Went
420,Diving Into a Gut Renovation With Gusto
422,Cambridge Analytica and the Coming Data Bust
426,"Soup’s On, With a Side of Art"
429,I Disapprove Of School Vouchers. Can I Still Apply For Them?
430,"Mayor’s Dream of Streetcar Remains Just That, for Now"
433,Dear Match Book: Funny Pages
435,College
436,What ‘Pop-Up’ Classes Do You Wish Your School Offered?
443,The Failures of Anti-Trumpism
444,"For Bannon, Tariffs Are Test of Trump’s Beliefs"
445,Childhood Fears No Parent Can Allay
450,"Two Tokens, Please"
451,Scrutiny for Trump’s Allies As Trail of Money Widens
452,Trump’s One-Night Stand Turns Into a Legal Nightmare
455,Leeches as Species Trackers
456,"Poised to Balloon to $1 Trillion,  U.S. Deficit Fuels Fear of Crisis"
457,"Warming Up for His Grilling In Jacket, Tie and Hair Shirt"
458,The Mets Are 8-1. Get Excited. They Are.
459,Authentic Is Foreign To Him
460,President Talks Of Retaliation Beyond Syria
461,What the Heck Is That?: ABOU
462,"The Sizzle  Of the Grill, Put to Music"
468,"Governor Enters Senate Race, Returning Florida to a Battleground"
478,"A Hub of Contemplation, Challenge and Social Protest"
479,How Much Power Do Books Have to Teach Young People Tolerance of Others?
480,"‘Trust’ Season 1, Episode 3 Recap: Change of Management"
481,"‘Billions’ Season 3, Episode 3 Recap: Boss Moves"
483,"The Wit of Tina Fey, in Song"
484,"At Home on the Court, and Now in the Art Gallery"
485,"In Town That Lives for Hockey, A Crash Has Splintered Hearts"
486,The Tragedy of James Comey
487,Horror of Being Governed by 'Fox &amp; Friends'
489,State Courts Under Attack
490,Art Collector and Bon Vivant Dies in Fire at the Trump Tower Home He Couldn’t Sell
493,Sweeping Election Victory Gives Hungary’s Ruler Control Over Constitution
494,"Before #MeToo, There Was Antioch"
495,A Cut With Some Class
498,No More Hasty Scrawls: The End of Credit Card Signatures
499,"‘No One Trusts Facebook,’ Its Viral Stars Complain"
500,"For G.O.P., Threat Of Impeachment May Spur Voters"
502,Triple Spoonerisms
503,The Murky Perils of Quitting Antidepressants After Years of Use
507,"Renegades Once, Now the Mainstream"
508,Risotto From Sri Lanka Is Just as Good
511,Friday Night Music: Samantha Fish
514,Chief of Staff Advised a Resistant President to Fire the E.P.A.’s Chief
515,Current TB Treatment May Be Insufficient
516,"Saudi Prince’s Tour: Murdoch, Gates, Oprah …"
517,Buying Political Ad on Facebook?  The Anonymous Need Not Apply
518,Asparagus Has Earned Its Divine Status
520,"Catering to Fliers at 30,000 Feet"
521,"Democracy, The Enemy"
522,"Cecil Taylor, Bracing Pianist Who Defied Jazz Orthodoxy, Is Dead at 89"
523,Pregnancy: Blood Pressure and Miscarriage
524,A Real Estate Dynasty Is Passing the Torch
525,Disappointing  Jobs Report Takes Shine Off Economy
526,Alarms Raised On Nominees’ Views on Islam
528,Don’t Let the G.O.P. Dismantle Obama’s Student Loan Reforms
529,"Hate-Watching HGTV, Just Like Me"
531,U.S. Puts New Sanctions On Putin’s Inner Circle
537,We Were Ready to Give Up on a Second Baby Until a ‘Miracle’ Arrived
540,Fascism on The March
542,Blast From the Past
544,The Art  Of the Flail
545,Officials at E.P.A. Raised Concerns And Were Ousted
546,"Trump, Off Script, Blasts Democrats on Immigration"
548,The Limits Of a Liberal Nirvana
549,Sometimes a Broken Glass Is Just a Broken Glass
554,Tight Labor Market Squeezes Restaurants
555,Growing Crisis Threatens E.P.A. Chief as Top Aides Eye the Exits
556,Why China Is Confident It Can Beat Trump in a Trade War
559,"In One Battle After Another, It’s Trump v. California"
561,Homes for Sale in Manhattan and Brooklyn
564,A Harder Death for People With Intellectual Disabilities
566,"Trump, Driven by Fear"
567,"A Tiny Elevator, Haunting Thoughts"
568,"‘Oh, God, You, Too?’ More Women Accuse Architect of Misconduct"
569,Finding a Place (and a Decent Kitchen) to Call Her Own
570,Pentagon Wades Deeper  Into Detainee Operations Run by Kurds in Syria
571,Recovery Plan
573,Life or Death
576,Mike Myers’s Dr. Evil Tells Jimmy Fallon He Was Fired From the White House
577,Do You Need a Homework Therapist?
578,Teaching Activities for: ‘Hot Springs Lower Stress in Japan’s Popular Bathing Monkeys’
579,Temple Elephants Find Friends and Care at This Retreat in India
581,"Dylan, St. Vincent And Others Sing  About Gay Love"
582,Safety: Marijuana and Fatal Car Crashes
583,"‘The Americans’ Season 6, Episode 2 Recap: Our People"
584,"Overlooked No More: Bessie B. Stringfield, the ‘Motorcycle Queen of Miami’"
585,Causing a Walk-off
586,YouTube Complaints From Attacker Echoed Fight Over Ad Dollars
587,Mr. Trump’s Flawed Border Plan
588,U.S. Risks Trapping Manufacturers in the Crossfire
589,U.S.-China Trade Tensions   Send Indexes Lower Again
600,Campus
603,"‘RuPaul’s Drag Race’ Season 10, Episode 3: Fifty Shades of Mayhem"
607,White House Sees Hope for Agreement on Nafta
608,Gun Makers Must Do More
610,Trump Escalates Fight With China In Tariff Threat
613,Infrastructure Fund Is Slow To Equal Hype 
615,A Mostly Quiet Car
616,Mr. Trump’s War on the Truth
617,An Enchanted Home Inside a Library
621,Why Is New York Condoning Illiteracy?
625,Balancing the Chaos Of a Mighty Universe
626,Older? Yes. Wiser? Well ...
627,"Beyond the City, Rents Rise and Homelessness Follows"
631,President Pulls Back From Call for a Total Withdrawal From Syria
634,Facebook Puts Profile Breach At 87 Million
635,White House Edges Back From Brink of Trade War
638,"Trade Wars, Stranded Assets, and the Stock Market (Wonkish)"
639,"Where Is Googoosha,  The Less Than Cherished Uzbek First Daughter?"
643,"$700,000 Homes in Washington, Pennsylvania and Michigan"
645,Top Court Rules Brazil Can Jail Former Leader
646,New York Democrats End Their 7-Year Schism
650,The G.O.P. Can Avoid A Disaster
653,Historic Homes and a Questionable Moniker
658,Guiding Hand For Algebra And Anxiety
659,Anne Wojcicki Wants to Be Healthy at 100
663,What Does Dr. King’s Legacy Mean to You?
664,Teacher Walkouts
666,Cheesy Stuff
668,Firms Shudder as Trump’s Tweets Mean Business
669,"On Foreign Policy, the President Reverts to Candidate Trump"
671,How to Win An Argument About Guns
672,Inclusion Riders Won’t Save Hollywood
673,Trump’s Perversion of Leadership
675,A Shooting at YouTube’s Offices Rattles Silicon Valley
676,"As They Honor King, Churches Ask: How Far Have We Come?"
677,Mourning the Loss of Another Beacon of Old Harlem
678,Hot Springs Lower Stress in Monkeys
679,"Five Attorneys General, and Me"
680,Met Lets in the Light
681,Is Putin a C.I.A. Agent?
684,Building a Smart City (Heated Sidewalks Included)
685,Turf Battle  Over Who Interprets Tax Rules
687,Who Will Lead California as Trump Leads a Battle Against It?
689,Oaxaca on the Gowanus
690,The Art of the Beef Stew
691,"The Last Year of Martin Luther King Jr.’s Life, According to The Times"
694,Matter Over Mind
705,Pairs Well With a Trade War
706,Mixing Work With Pleasure on Hurricane-Damaged Islands
707,Into the Ancient Land of the Cloud Warriors
711,How Can a Doctor Grapple With the Epidemic of Cost?
717,The Most Influential Man on Earth
718,Voter Suppression’s Legacy Lives On
719,Reliving Those Arabian Nights
723,What’s the Matter With Trumpland?
726,The Wrong Way to Unclog Streets
728,Border Patrol Agent Has Trump’s Ear
730,"Just Super, Nova"
731,"Family: Antibiotics, Antacids, Allergies"
733,Divisive Oratory Daily Has a Nation Spellbound
734,California Vows to Fight U.S. Efforts to Reduce Car Pollution Standards
735,A Year Of Peak Picasso
738,Russia Sends Hasty R.S.V.P. to Trump Invitation
739,"In a Changing South Bronx, Residents See a New Jail as a Step Backward"
743,A Tradition of Treats
746,A Dolphin Die-Off in Brazil ‘Is Only the Tip of the Iceberg’
748,Trump Returns To a Hard Line On Immigrants
750,"‘Glee, Satisfaction and Weeping’: How America Reacted When Martin Luther King Died"
754,There Is a Middle Ground on Guns
755,"How to Serve a Deranged Tyrant, Stoically"
757,An Aspiring Developer Chooses a Construction Zone
760,Reality TV’s Hopeless Romantic
761,Charities Face #MeToo Fallout
762,Student Loan Showdown:  Where Do Borrowers Have It Best?
763,"Fighting Over Chores? Spend Some Money, Save the Marriage"
768,"‘Trust’ Season 1, Episode 2 Recap: Don’t Mess With Texas"
769,"‘Billions’ Season 3, Episode 2 Recap: That Feeling in Your Stomach"
770,"China Makes Good on Threat of Tariffs, Raising Its Duties on 128 U.S. Products"
771,"‘The Walking Dead’ Season 8, Episode 14: Resurrection"
772,Eager Refugees Courted for Jobs In Tight Market
773,Rhythms  Of Tragedy
774,‘The Ice Is Melting’: Dismantling a Police State
775,Last-Second Nature
776,America Needs Better Privacy Rules
777,When a Subject Refuses to Pose
778,"Poisoned Door Knob Hints at High-Level Plot to Kill Spy, U.K. Officials Say"
779,A New Black American Dream
780,Will Trump Start a Farm Crisis?
783,Dog With a Secret
785,World Capital
788,Intellectual Caught Up In a Furor
789,Gun Control and Fall Elections: Moment or Movement?
791,Political Power Has Backfired For Kushners
792,1 + 1 = 5
793,"Spiro Agnew, Father Of Today’s G.O.P."
797,The Rise of God’s Spokeswomen
798,Years of Claims  Of Harassment  In Justice Dept.
800,"Saving a Fussy Eater In Europe, With Help From 50,000 Rabbits"
802,"Extortion, or the Price of Freedom?"
803,Church Leaders Propelled the Civil Rights Movement. Now They’re Looking to Rekindle Dr. King’s Activist Spirit
807,Are Today’s Teenagers Smarter and Better Than We Think?
809,8 Bullets Struck Sacramento Man As He Faced Away
813,The Americans Our Government Won’t Count
815,Orlando Gunman’s Wife Is Acquitted in Shootings
820,The Self-Driving Car Industry’s Biggest Turning Point Yet
821,"A Student Loan Fix, With Catches"
822,Confrontations At Gaza Fence Leave 15 Dead
829,"Actually, You Can Fix Stupid"
830,How Memphis Gave Up on Dr. King’s Dream
831,Affirmative Action for Reactionaries
837,Pitting Girls Against Girls to a New Tune
841,When a Good Night’s Sleep Needs Some Help
842,Innocents Behind Bars
843,A Prodigy Redeemed
844,Dr. King’s Complex Relationship With the Camera
846,Movie-Themed Vacation
848,Won’t Be Back Till Late
850,Tabloid Mogul Visited Trump To Woo Saudis
853,Network Rediscovers Trump Country With Reboot of ‘Roseanne’
854,V.A. Shake-Up Gives Rise to New Fears of Privatized Care
855,Tesla in Need Of Recharge After a Series Of Setbacks
858,‘Roseanne’ Is Funny. And Scary.
859,Ronny Jackson’s Disturbing Lack of Independence
865,Heart: Hockey Fans Beware
867,The Young and the Streaming
869,A Haunting Southern Exposure
871,Crisis Deepens As the Kremlin Bucks the West
872,"Caribbean Savor, Australian Bounty"
873,‘Ideal’ Is an Opinion
875,68 Die in Jail Fire. Then Police Attack Bereaved.
876,What Topics Should the ‘Tech We’re Using’ Column Tackle Next?
877,"With an Eye on Russia, Britain Edges Toward Dirty Money Crackdown"
879,Utah Passes ‘Free-Range’ Parenting Law
880,"As Facebook Loses Luster, Tech Stocks Await Fallout"
881,"In Britain, the Labour Party Wrestles With Claims of Anti-Semitism"
882,How to Prevent a Racist Hoodie
883,"A Kitchen Duo for Decades, Now With Their Own Place"
884,"Women on Stage, Sweating It Out"
885,"‘The Americans’ Season 6, Episode 4 Recap: The Birth of a Honey Pot"
886,This Many
887,"Bueller? Bueller? No, Satan"
889,White Power Never Disappeared
891,Fury in Germany as Rap Duo With Anti-Jewish Lyrics Gets Award
892,Farmers’ Anger at Trump Tariffs Puts G.O.P. at Risk in Midterms
893,Our Gold-Leaf Presidency
896,‘Full Metal Jacket’ Seduced My Generation and Sent Us to War
897,A Coat to Remember
898,"Quiet Flight, Then a Blast and a Sudden Plunge"
899,Former Playboy Model Is Free to Discuss Alleged Affair
900,Embrace the Bowie in You
901,Scam I Amn’t: Voters and the Tax Cut
904,"Love: Being Married, Beating Cancer"
907,"Puerto Rico, Entire Island, Loses Power"
909,Hero Pilot Is Navy Veteran With ‘Nerves of Steel’
911,"Reader Idea | FON, FAIIN, FIIM? A Classroom Game About Literary Genre"
912,Fixing the ‘Involuntary Housewife Visa’
913,President Warns He Could Depart Pyongyang Talks
916,Fishing for Stories via Instagram
918,How Many Breeds in That Doggie in the Survey?
920,Japan Fears Being Sidelined as Trump Moves on Trade and North Korea
921,Who Made My Puzzle?: Sam Trabucco
927,Mrs. No-Nonsense
928,James Comey Tells Colbert Why Trump’s Presidency Is ‘Not O.K.’
929,"That Suburban Feel, With Some Urban Touches"
931,Hero Worship
933,"He Inhaled Mustard Agent in Iraq, but the Navy Denied Him a Purple Heart"
934,Reinterpreted Rule Limits Young Immigrants
935,From ‘How to Break Up With Your Phone’
937,Can Dirt Save the Earth?
938,The Baby Mogul
940,Jonathan Van Ness Never Tried to Hide Who He Was
941,Teaching Activities for: ‘“Men Treat Us Like We Aren’t Human.” Indian Girls Learn to Fight Back.’
942,An Army Veteran Confronts His Own Trauma With a Camera
944,Much Covered Song
947,"Outrage for Some, for Others It’s Just Everyday Life"
949,"Barbara Bush, First Lady and First Mother, Dies at 92"
950,"Scott Pruitt, Man of Little Shame"
951,"A Celebration of 70 Years, Complete With Rancor and Bickering"
952,This Old Case
954,Nurse Enters Boston Marathon For Fun. Finishes Second.
955,Readers Respond to Our Call for Help With a Diagnosis
956,"Airplane Engine Explodes, Killing Passenger in Midair"
958,Hangover
959,Diamonds and Lies
960,"After Obtaining Real Personal Data, A Political Firm Explores Virtual Currency"
961,"Starbucks  Will Close 8,000 Stores For Training"
963,"Confused? No,  Haley Retorts  To Trump Aide "
965,"That’s Right, No. 1 With A Pulitzer"
968,Protesting Artists Step Off the Streets and Into the Gallery
969,Amateur Sleuths Bring A Missing ‘Grunt’ Home
971,"Teaching Activities for: ‘Holocaust Is Fading From Memory, Survey Finds’"
972,Vegetables Crash the Dessert Menu
974,"When a Politician and a Lawman Try to Play the Hero, the Lawman Usually Wins"
975,Introducing Form 1040-EL (Emotional Labor)
976,China Moves To Open Itself To Carmakers From Abroad
977,A ‘Frozen’ Star Just Needed to Chill
978,14 Death Sentences in 2 Hours: Iraq Shows No Mercy to ISIS Suspects
979,"In La Paz, Where Empowerment Is Also Inspiring"
980,The #MeToo Era Means More Options for Women
981,Group Think
982,Billion-Dollar Blessings
983,Dear Match Book: Black Genre Fiction
984,Was It O.K. to Let an Aging Relative Believe My Mother Was Still Alive?
985,We’re Bad at Evaluating Risk. How Doctors Can Help.
986,Does Your School Need More Money?
987,Black Cops on Both Sides of the Badge
988,Pashtuns Defying Pakistani Army Wonder How Far They Can Push
989,Marathon
990,A Beginner’s Guide to Taking Great Video on Your Phone
991,Every Other Letter
992,Trump Declines To Add Sanctions Against Russians
993, Comey’s Star Turn May Spoil His Carefully Cultivated Image
996,We Chose Our Child
997,"Lordy, Is There a Tape?"
998,Sims Statue in Central Park to Be Moved
999,The Blindness Of Social Wealth
1000,It Was Unspeakably Miserable. I Can’t Wait to Tell You About It.
1001,"Saturday Night Out, 1978"
1002,James Comey’s Debasement
1003,U.S. and U.K. Forewarn  Of Russian Cyberthreat
1004,Gasps in Courtroom as Hannity Is Named as Cohen’s Secret Client
1005,The Times and The New Yorker Share Prize for Abuse Coverage
1006,Feral Bully Unleashes  Comic Storm
1007,"Inch by Inch, an Operatic Jewel Is Polished"
1008,Standing Watch With Wary Words
1009,"Cousin of the Martini, the Alaska Strikes Gold"
1011,Peru’s Love Affair With the Potato
1012,What the Heck Is That?: BABAS
1013,"A Pair of Breakthroughs in a Slow, Slippery Marathon"
1015,Memorial to War Dead  Shows Divide in Israel Over Complicated Past
1016,‘Here and Now’ Season 1 Finale: Baby’s on Fire
1019,"‘The Walking Dead’ Season 8 Finale: War Is Over, if You Want It"
1020,"Trove Seized,  But Who Gets  First Glimpse?"
1026,They Made It Here
1028,Should I Give Up on White People?
1029,"What’s Going On in This Picture? | April 16, 2018"
1030,The Medieval Derby
1031,Terror Plot or Idle Talk? Kansas Trial Hinges on the Answer
1032,Wired to Be Besties
1033,Wartime Internment Of Japanese Looms Over Travel Ban Case
1034,"Leaky Roofs, Broken Laptops, Mobile Classrooms: Snapshots From Public Schools"
1035,Would Americans Accept Putting Health Care on a Budget? 
1038,Photos of Gynecological Tools From Centuries Past
1039,"Teaching Activities for: ‘Is British English Conquering America, or Vice Versa?’"
1040,‘They Eat Money’: How Graft Enriches Mandela’s Political Heirs
1041,On the Catwalk In Saudi Arabia
1042,"‘Trust’ Season 1, Episode 4 Recap: Business, as Usual"
1043,"‘Billions’ Season 3, Episode 4 Recap: Sealed With a Kiss"
1044, Notable Moments In ABC’s Interview  With Ex-F.B.I. Chief
1045,"Tusks of Ivory,  Stalking the World"
1046,"He Called Out Sick, Then Apologized for Dying"
1047,"From Trump’s Hometown, a New Legal Threat With Long Arms"
1048,Doctors Fight Drug-Resistant Typhoid Outbreak
1051,"Our Monologues, Ourselves"
1052,Teaching Activities for: ‘Hundreds of Immigrant Children Have Been Taken From Parents at U.S. Border’
1053,The Candidate Who Wouldn’t Talk
1054,Beaches and Generosity Abound in Los Cabos
1056,College’s First Test: How to Pay for It
1057,Still Fraying at the Seams
1058,U.S. Warplanes Shift Tactics to Target Last ISIS Pockets in Eastern Syria
1059,"A Child Is Killed, and Empathy Goes Missing"
1060,"Brushing Off Trump Scandals, Christian Right Marshals Forces for Midterms"
1061,Report Concludes Misconduct Was Not ‘Systemic’ at WNYC
1062,Polar Bears of Hudson Bay
1063, Longing for a Baby With a Trans Partner
1068,Another Day in Marvel’s Universe
1069,Locals Bristle as Outsiders Grab Spaces
1071,"For Trump and Macron, A Presidential Bromance"
1072,Israel’s Got Its Own Refugee Dilemma: African ‘Dreamers’
1074,The Way It Was (or How He Recalls It)
1075,"When Suspect Said ‘Kill Me,’ Officer Put Away His Gun"
1076,Doubtful Limits on Presidential Power
1077,"Judge Tells U.S. to Accept New DACA Applications, Breathing Life Into Program"
1078,Democrats Take Numerical Edge in Senate
1079,"Republican Wins Race In Arizona Stronghold, Buoying Nervous Party"
1080,Panel Tells N.C.A.A.To End 1 and Done
1081,Furniture-Building Robots
1082,Teaching Activities for: ‘How Windmills as Wide as Jumbo Jets Are Making Clean Energy Mainstream’
1083,Are You Conforming to or Rebelling Against Your Parents’ Wishes for You?
1084,From Tracy K. Smith’s ‘Wade in the Water’
